name;group_id;value
Белые жареные;1;162
Белые маринованные;1;24
Белые свежие;1;34
Белые сушёные;1;282
Валуи;1;29
Вешенки свежие;1;38
Грибное ассорти 4 сезона;1;27
Грибное ассорти быстрозамороженное;1;20
Грузди свежие;1;16
Дождевики;1;27
Еноки;1;42
Лисички быстрозамороженные Свой урожай;1;19
Лисички свежие;1;20
Лисички сушёные;1;261
Маслята маринованные Золотая Долина;1;18
Маслята свежие;1;19
Морской гриб;1;132
Опята маринованные;1;18
Опята свежие;1;17
Подберёзовики свежие;1;31
Подберёзовики сушёные;1;231
Подосиновики свежие;1;22
Подосиновики сушёные;1;315
Польский гриб;1;19
Портобелло жареные на гриле;1;35
Портобелло свежие;1;26
Рыжики свежие;1;17
Сморчки свежие;1;27
Сыроежки свежие;1;15
Трюфели свежие;1;51
Чернушки;1;9
Шампиньоны консервированные;1;12
Шампиньоны королевские;1;25
Шампиньоны свежие;1;27
Шампиньоны сушеные;1;261
Шиитаке свежие;1;34
Шиитаке сушеные;1;331
Эринги;1;43
Колбаса вареная диетическая;2;170
Колбаса вареная докторская;2;257
Колбаса вареная куриная;2;223
Колбаса вареная любительская;2;301
Колбаса вареная молочная;2;252
Колбаса вареная мортаделла;2;331
Колбаса вареная московская;2;250
Колбаса вареная русская;2;302
Колбаса вареная свиная;2;277
Колбаса вареная столичная;2;319
Колбаса вареная столовая;2;234
Колбаса вареная чайная;2;216
Колбаса варено-копченая куриная жареная;2;371
Колбаса варено-копченая любительская;2;420
Колбаса варено-копченая московская;2;406
Колбаса варено-копченая сервелат;2;425
Колбаса вегетарианская;2;207
Колбаса ливерная;2;326
Колбаса ливерная баварская;2;210
Колбаса печеночная домашняя;2;258
Колбаса полукопченая закусочная;2;366
Колбаса полукопченая краковская;2;466
Колбаса полукопченая минская;2;287
Колбаса полукопченая одесская;2;402
Колбаса полукопченая полтавская;2;417
Колбаса полукопченая салями любительская;2;498
Колбаса полукопченая таллиннская;2;373
Колбаса сыровяленая сальчичон;2;351
Колбаса сыровяленая суджук;2;463
Колбаса сыровяленая чоризо;2;455
Колбаса сырокопченая брауншвейгская;2;491
Колбаса сырокопченая зернистая;2;606
Колбаса сырокопченая любительская;2;514
Колбаса сырокопченая московская;2;473
Колбаса сырокопченая свиная;2;568
Колбаса сырокопченая сервелат;2;461
